area,village,median,lat,lon,state_code
士林區,明勝里,642,25.0794357,121.5220129,554627017
士林區,社園里,571,25.0920806,121.5077373,554927030
士林區,蘭興里,768,25.108275,121.5234403,555227047
士林區,天母里,825,25.1316081,121.5341457,555727058
士林區,名山里,744,25.102951,121.52915,555127045
士林區,德華里,662,25.1009909,121.5205854,555127041
士林區,天山里,750,25.1195164,121.5320047,555527055
士林區,臨溪里,817,25.102039,121.5526993,555127049
北投區,湖山里,625,25.1514747,121.5398548,556227054
北投區,永欣里,1007,25.1227038,121.5212991,555527054
北投區,泉源里,563,25.155518,121.5227266,556327048
北投區,一德里,603,25.1304958,121.4713265,555727044
北投區,關渡里,641,25.1169113,121.4670422,555427040
北投區,桃源里,604,25.1384182,121.4827508,555927046
北投區,文化里,785,25.13937,121.4956017,555927049
北投區,永和里,792,25.1319657,121.5270089,555727056
北投區,立農里,674,25.1193581,121.5059527,555527049
北投區,清江里,593,25.1279091,121.5020266,555627050
北投區,八仙里,652,25.1211562,121.4884624,555527046
北投區,洲美里,541,25.1028683,121.5041681,555127039
北投區,中和里,659,25.144497,121.4991711,556027048
北投區,開明里,645,25.1434874,121.5034543,556027049
北投區,長安里,612,25.134956,121.5016696,555827051
北投區,大同里,645,25.1314122,121.4956017,555727049
北投區,福興里,680,25.1113022,121.5105925,555327046
北投區,石牌里,659,25.109501,121.516984,555227047
北投區,奇岩里,676,25.1300274,121.5127339,555727053
北投區,稻香里,629,25.1440411,121.4870345,556027046
北投區,中央里,655,25.1285818,121.4991711,555727050
北投區,溫泉里,641,25.1335309,121.5063096,555827052
北投區,立賢里,625,25.1146462,121.5020266,555427046
北投區,中心里,641,25.1401619,121.5063096,555927051
北投區,智仁里,646,25.1437646,121.4952447,556027048
北投區,吉利里,703,25.1162708,121.5120202,555427049
北投區,尊賢里,652,25.1168642,121.5080942,555427049
北投區,東華里,683,25.1220704,121.5127339,555527052
北投區,吉慶里,704,25.1116574,121.5034543,555327045
北投區,中庸里,598,25.1386081,121.5002419,555927050
北投區,秀山里,596,25.1533058,121.492746,556227043
北投區,建民里,683,25.1035035,121.5127339,555127042
北投區,榮光里,689,25.1129456,121.5148753,555327048
北投區,裕民里,731,25.113599,121.5177304,555327049
北投區,振華里,697,25.1159149,121.5191579,555427051
北投區,榮華里,807,25.1135794,121.5234403,555327051
北投區,豐年里,579,25.1345789,121.4906043,555827048
北投區,林泉里,635,25.1399632,121.5155891,555927053
