district,address,boomTime,lat,lon,state_code
大同區,民權西路225巷,105-1-28,25.0638489,121.5121261,554226989
大同區,大龍街與承德路3段8巷口,105-1-28,25.0638424,121.5181676,554226990
大同區,承德路3段與酒泉街口,105-2-26,25.0699378,121.5182537,554427001
大同區,延平北路與歸綏街口,105-1-5,25.0582238,121.5105935,554126978
大同區,延平北路與敦煌路口,105-1-15,25.107287300000007,121.4718937,555227035
大同區,寧夏路59號,105-1-9,25.057931,121.5154866,554126978
大同區,民權西路225巷與民權西路口,105-1-22,25.0643302,121.5119253,554226990
大同區,承德路與敦煌路口,105-1-21,25.0763833,121.5130478,554527010
大同區,酒泉街50巷與酒泉街口,105-1-26,25.0712997,121.5167293,554427003
大同區,承德路3段206號,105-2-19,25.0702942,121.5181712,554427002
大同區,涼州街與民樂街口,105-1-16,25.056362,121.510968,554126974
大同區,錦西街116號,105-1-19,25.060091,121.51758999999998,554126983
大同區,西寧北路73號,105-1-24,25.055206,121.509065,554026971
大同區,承德路3段與民權西路口,105-1-26,25.064326,121.5188314,554226991
大同區,南京西路與太原路口,105-10-15,25.0535881,121.5160989,554026969
大同區,重慶北路3段與民權西路口,105-10-18,25.063122,121.51371740000002,554226988
大同區,延平北路3段50號,105-4-23,25.0648949,121.5109916,554326990
大同區,鄭州路,105-12-29,25.0495407,121.5133021,553926960
大同區,南京西路與赤峰街口,105-12-30,25.0526394,121.5203567,554026968
大同區,延平北路2段與涼州街口,105-3-21,25.060562,121.511509,554226982
大同區,重慶北路3段14號,105-3-24,25.064835100000003,121.5133983,554326991
大同區,民權西路與延平北路3段口,105-4-6,25.0633642,121.5111796,554226988
大同區,南京西路與重慶北路1段口,105-4-7,25.054104,121.5143135,554026970
大同區,承德路3段與庫倫街口,105-4-8,25.0699378,121.5182537,554427001
大同區,西寧北路與鄭州路口,105-3-16,25.050385,121.5097864,553926961
大同區,重慶北路3段322巷,105-2-9,25.0755914,121.5134039,554527009
大同區,寧夏路與歸綏街口,105-2-12,25.058171,121.508565,554126977
大同區,大龍街232號,105-2-14,25.069766,121.515639,554427000
大同區,承德路2段與南京西路口,105-2-14,25.053328,121.5176323,554026969
大同區,延平北路3段與昌吉街口,105-2-14,25.0673044,121.5110512,554326995
大同區,環河北路1段與鄭州路口,105-2-15,25.0596283,121.5085172,554126980
大同區,延平北路4段與敦煌路口,105-2-16,25.1058802,121.47792340000002,555227036
大同區,民生西路57號,105-2-19,25.0577277,121.520325,554126979
大同區,市民大道1段209號,105-2-20,25.049116,121.5185352,553926960
大同區,延平北路1段74號,105-2-20,25.051744,121.511796,554026964
