state_code,house_unitPrice,lease_unitPrice,center,center_lat,center_lon,cit,dist,vil,km_x,km_y
554226995,669000.0,1456.5,"(25.062401649574042, 121.55237234904276)",25.062401649574042,121.55237234904276,台北市,松山區,精忠里,2771.25,13497.75
554226996,617000.0,1321.0,"(25.062401649574042, 121.55687503920775)",25.062401649574042,121.55687503920775,台北市,松山區,精忠里,2771.25,13498.25
554226997,539500.0,,"(25.062401649574042, 121.56137772937275)",25.062401649574042,121.56137772937275,台北市,松山區,三民里,2771.25,13498.75
554226998,616500.0,1140.0,"(25.062401649574042, 121.56588041953773)",25.062401649574042,121.56588041953773,台北市,松山區,新益里,2771.25,13499.25
554226999,552000.0,1137.0,"(25.062401649574042, 121.57038310970273)",25.062401649574042,121.57038310970273,台北市,松山區,新東里,2771.25,13499.75
554227000,533500.0,1270.5,"(25.062401649574042, 121.57488579986772)",25.062401649574042,121.57488579986772,台北市,內湖區,湖元里,2771.25,13500.25
554227001,550000.0,,"(25.062401649574042, 121.57938849003271)",25.062401649574042,121.57938849003271,台北市,內湖區,湖元里,2771.25,13500.75
554227002,506500.0,,"(25.062401649574042, 121.58389118019771)",25.062401649574042,121.58389118019771,台北市,內湖區,湖元里,2771.25,13501.25
554227003,644000.0,1052.0,"(25.062401649574042, 121.5883938703627)",25.062401649574042,121.5883938703627,台北市,內湖區,石潭里,2771.25,13501.75
554227004,459000.0,1118.0,"(25.062401649574042, 121.59289656052769)",25.062401649574042,121.59289656052769,台北市,內湖區,石潭里,2771.25,13502.25
554227005,804000.0,,"(25.062401649574042, 121.59739925069267)",25.062401649574042,121.59739925069267,台北市,內湖區,蘆洲里,2771.25,13502.75
554227006,528000.0,1222.0,"(25.062401649574042, 121.60190194085767)",25.062401649574042,121.60190194085767,台北市,內湖區,蘆洲里,2771.25,13503.25
554227007,582000.0,,"(25.062401649574042, 121.60640463102267)",25.062401649574042,121.60640463102267,台北市,內湖區,蘆洲里,2771.25,13503.75
554227008,497000.0,500.0,"(25.062401649574042, 121.61090732118765)",25.062401649574042,121.61090732118765,台北市,南港區,三重里,2771.25,13504.25
554227009,606000.0,1333.0,"(25.062401649574042, 121.61541001135265)",25.062401649574042,121.61541001135265,台北市,南港區,三重里,2771.25,13504.75
554227010,575500.0,1088.5,"(25.062401649574042, 121.61991270151763)",25.062401649574042,121.61991270151763,台北市,南港區,三重里,2771.25,13505.25
554326994,579500.0,1400.0,"(25.066923508238826, 121.5103999143309)",25.066923508238826,121.5103999143309,台北市,大同區,國順里,2771.75,13497.25
554326995,547500.0,1396.0,"(25.066923508238826, 121.51490121644483)",25.066923508238826,121.51490121644483,台北市,大同區,揚雅里,2771.75,13497.75
